kernel_bucket,sample_class,width,sample_count,fixed_byte_count,variable_byte_count,fixed_bit_count,variable_bit_count,mask,sha1_8_counts,target_samples
AC_flk_landing_series,strong,32,3,9,23,179,77,?? ?? 70 ?? ?? ?? ?? 01 ?? ?? fb ?? ?? 70 ?? ?? ?? ?? 01 ?? ?? fb ?? 1a 70 ?? ?? ?? ?? 01 ?? ??,0b8e2357:1 bf1f8ce1:1 31d0ae67:1,0x70017d41 0x70017d4c 0x70017d36
A_flk_landing_series,all,8,4,3,5,46,18,?? 1a 70 ?? ?? ?? ?? 01,9de9a627:1 a1a5ae5b:1 ffa1d8d1:1 b035377a:1,0x70017d78 0x70017d6d 0x70017d62 0x70017d57
A_flk_landing_series,all,16,4,6,10,94,34,?? 1a 70 ?? ?? ?? ?? 01 ?? ?? fb ?? 1a 70 ?? ??,9de9a627:1 a1a5ae5b:1 ffa1d8d1:1 b035377a:1,0x70017d78 0x70017d6d 0x70017d62 0x70017d57
A_flk_landing_series,all,32,4,11,21,183,73,?? 1a 70 ?? ?? ?? ?? 01 ?? ?? fb ?? 1a 70 ?? ?? ?? ?? 01 ?? ?? fb ?? 1a 70 ?? ?? ?? ?? 01 ?? ??,9de9a627:1 a1a5ae5b:1 ffa1d8d1:1 b035377a:1,0x70017d78 0x70017d6d 0x70017d62 0x70017d57
A_flk_landing_series,close,8,4,3,5,46,18,?? 1a 70 ?? ?? ?? ?? 01,9de9a627:1 a1a5ae5b:1 ffa1d8d1:1 b035377a:1,0x70017d78 0x70017d6d 0x70017d62 0x70017d57
A_flk_landing_series,close,16,4,6,10,94,34,?? 1a 70 ?? ?? ?? ?? 01 ?? ?? fb ?? 1a 70 ?? ??,9de9a627:1 a1a5ae5b:1 ffa1d8d1:1 b035377a:1,0x70017d78 0x70017d6d 0x70017d62 0x70017d57
A_flk_landing_series,close,32,4,11,21,183,73,?? 1a 70 ?? ?? ?? ?? 01 ?? ?? fb ?? 1a 70 ?? ?? ?? ?? 01 ?? ?? fb ?? 1a 70 ?? ?? ?? ?? 01 ?? ??,9de9a627:1 a1a5ae5b:1 ffa1d8d1:1 b035377a:1,0x70017d78 0x70017d6d 0x70017d62 0x70017d57
A_flk_landing_series,strong,8,4,3,5,46,18,?? 1a 70 ?? ?? ?? ?? 01,9de9a627:1 a1a5ae5b:1 ffa1d8d1:1 b035377a:1,0x70017d78 0x70017d6d 0x70017d62 0x70017d57
A_flk_landing_series,strong,16,4,6,10,94,34,?? 1a 70 ?? ?? ?? ?? 01 ?? ?? fb ?? 1a 70 ?? ??,9de9a627:1 a1a5ae5b:1 ffa1d8d1:1 b035377a:1,0x70017d78 0x70017d6d 0x70017d62 0x70017d57
A_flk_landing_series,strong,32,4,11,21,183,73,?? 1a 70 ?? ?? ?? ?? 01 ?? ?? fb ?? 1a 70 ?? ?? ?? ?? 01 ?? ?? fb ?? 1a 70 ?? ?? ?? ?? 01 ?? ??,9de9a627:1 a1a5ae5b:1 ffa1d8d1:1 b035377a:1,0x70017d78 0x70017d6d 0x70017d62 0x70017d57
B_flk_landing_series,all,8,10,2,6,42,22,?? ?? 70 ?? ?? ?? ?? 01,190bf18b:1 00392696:1 cd8513a5:1 95003f46:1 5bf07941:1 96d18c91:1,0x70017e3e 0x70017e33 0x70017e28 0x70017e1d 0x70017e12 0x70017e07 0x70017dfc 0x70017df1 0x70017de6 0x70017ddb
B_flk_landing_series,all,16,10,3,13,75,53,?? ?? 70 ?? ?? ?? ?? 01 ?? ?? fa ?? ?? ?? ?? ??,190bf18b:1 00392696:1 cd8513a5:1 95003f46:1 5bf07941:1 96d18c91:1,0x70017e3e 0x70017e33 0x70017e28 0x70017e1d 0x70017e12 0x70017e07 0x70017dfc 0x70017df1 0x70017de6 0x70017ddb
B_flk_landing_series,all,32,10,3,29,105,151,?? ?? 70 ?? ?? ?? ?? 01 ?? ?? fa ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ??,190bf18b:1 00392696:1 cd8513a5:1 95003f46:1 5bf07941:1 96d18c91:1,0x70017e3e 0x70017e33 0x70017e28 0x70017e1d 0x70017e12 0x70017e07 0x70017dfc 0x70017df1 0x70017de6 0x70017ddb
B_flk_landing_series,close,8,10,2,6,42,22,?? ?? 70 ?? ?? ?? ?? 01,190bf18b:1 00392696:1 cd8513a5:1 95003f46:1 5bf07941:1 96d18c91:1,0x70017e3e 0x70017e33 0x70017e28 0x70017e1d 0x70017e12 0x70017e07 0x70017dfc 0x70017df1 0x70017de6 0x70017ddb
B_flk_landing_series,close,16,10,3,13,75,53,?? ?? 70 ?? ?? ?? ?? 01 ?? ?? fa ?? ?? ?? ?? ??,190bf18b:1 00392696:1 cd8513a5:1 95003f46:1 5bf07941:1 96d18c91:1,0x70017e3e 0x70017e33 0x70017e28 0x70017e1d 0x70017e12 0x70017e07 0x70017dfc 0x70017df1 0x70017de6 0x70017ddb
B_flk_landing_series,close,32,10,3,29,105,151,?? ?? 70 ?? ?? ?? ?? 01 ?? ?? fa ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ??,190bf18b:1 00392696:1 cd8513a5:1 95003f46:1 5bf07941:1 96d18c91:1,0x70017e3e 0x70017e33 0x70017e28 0x70017e1d 0x70017e12 0x70017e07 0x70017dfc 0x70017df1 0x70017de6 0x70017ddb
B_flk_landing_series,strong,8,10,2,6,42,22,?? ?? 70 ?? ?? ?? ?? 01,190bf18b:1 00392696:1 cd8513a5:1 95003f46:1 5bf07941:1 96d18c91:1,0x70017e3e 0x70017e33 0x70017e28 0x70017e1d 0x70017e12 0x70017e07 0x70017dfc 0x70017df1 0x70017de6 0x70017ddb
B_flk_landing_series,strong,16,10,3,13,75,53,?? ?? 70 ?? ?? ?? ?? 01 ?? ?? fa ?? ?? ?? ?? ??,190bf18b:1 00392696:1 cd8513a5:1 95003f46:1 5bf07941:1 96d18c91:1,0x70017e3e 0x70017e33 0x70017e28 0x70017e1d 0x70017e12 0x70017e07 0x70017dfc 0x70017df1 0x70017de6 0x70017ddb
B_flk_landing_series,strong,32,10,3,29,105,151,?? ?? 70 ?? ?? ?? ?? 01 ?? ?? fa ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ??,190bf18b:1 00392696:1 cd8513a5:1 95003f46:1 5bf07941:1 96d18c91:1,0x70017e3e 0x70017e33 0x70017e28 0x70017e1d 0x70017e12 0x70017e07 0x70017dfc 0x70017df1 0x70017de6 0x70017ddb
C_flk_control_anchor,all,8,1,8,0,64,0,f4 17 70 f4 e0 82 f9 01,adb9943a:1,0x700169a4
C_flk_control_anchor,all,16,1,16,0,128,0,f4 17 70 f4 e0 82 f9 01 c0 82 82 60 55 82 30 bb,adb9943a:1,0x700169a4
C_flk_control_anchor,all,32,1,32,0,256,0,f4 17 70 f4 e0 82 f9 01 c0 82 82 60 55 82 30 bb 82 40 3d 82 70 4d 82 b0 33 82 50 44 82 1e 8a 16,adb9943a:1,0x700169a4
C_flk_control_anchor,close,8,1,8,0,64,0,f4 17 70 f4 e0 82 f9 01,adb9943a:1,0x700169a4
C_flk_control_anchor,close,16,1,16,0,128,0,f4 17 70 f4 e0 82 f9 01 c0 82 82 60 55 82 30 bb,adb9943a:1,0x700169a4
C_flk_control_anchor,close,32,1,32,0,256,0,f4 17 70 f4 e0 82 f9 01 c0 82 82 60 55 82 30 bb 82 40 3d 82 70 4d 82 b0 33 82 50 44 82 1e 8a 16,adb9943a:1,0x700169a4
C_flk_control_anchor,strong,8,1,8,0,64,0,f4 17 70 f4 e0 82 f9 01,adb9943a:1,0x700169a4
C_flk_control_anchor,strong,16,1,16,0,128,0,f4 17 70 f4 e0 82 f9 01 c0 82 82 60 55 82 30 bb,adb9943a:1,0x700169a4
C_flk_control_anchor,strong,32,1,32,0,256,0,f4 17 70 f4 e0 82 f9 01 c0 82 82 60 55 82 30 bb 82 40 3d 82 70 4d 82 b0 33 82 50 44 82 1e 8a 16,adb9943a:1,0x700169a4
C_flk_landing_series,all,8,10,2,6,39,25,?? ?? 70 ?? ?? ?? ?? 01,44bc0403:1 aef5dad6:1 482b1d47:1 8de76ef5:1 8cf2579c:1 9179f142:1,0x70017cc8 0x70017d2b 0x70017d20 0x70017d15 0x70017d0a 0x70017cff 0x70017cf4 0x70017ce9 0x70017cde 0x70017cd3
C_flk_landing_series,all,16,10,4,12,81,47,?? ?? 70 ?? ?? ?? ?? 01 ?? ?? fb ?? ?? 70 ?? ??,44bc0403:1 aef5dad6:1 482b1d47:1 8de76ef5:1 8cf2579c:1 9179f142:1,0x70017cc8 0x70017d2b 0x70017d20 0x70017d15 0x70017d0a 0x70017cff 0x70017cf4 0x70017ce9 0x70017cde 0x70017cd3
C_flk_landing_series,all,32,10,8,24,157,99,?? ?? 70 ?? ?? ?? ?? 01 ?? ?? fb ?? ?? 70 ?? ?? ?? ?? 01 ?? ?? fb ?? ?? 70 ?? ?? ?? ?? 01 ?? ??,44bc0403:1 aef5dad6:1 482b1d47:1 8de76ef5:1 8cf2579c:1 9179f142:1,0x70017cc8 0x70017d2b 0x70017d20 0x70017d15 0x70017d0a 0x70017cff 0x70017cf4 0x70017ce9 0x70017cde 0x70017cd3
C_flk_landing_series,close,8,10,2,6,39,25,?? ?? 70 ?? ?? ?? ?? 01,44bc0403:1 aef5dad6:1 482b1d47:1 8de76ef5:1 8cf2579c:1 9179f142:1,0x70017cc8 0x70017d2b 0x70017d20 0x70017d15 0x70017d0a 0x70017cff 0x70017cf4 0x70017ce9 0x70017cde 0x70017cd3
C_flk_landing_series,close,16,10,4,12,81,47,?? ?? 70 ?? ?? ?? ?? 01 ?? ?? fb ?? ?? 70 ?? ??,44bc0403:1 aef5dad6:1 482b1d47:1 8de76ef5:1 8cf2579c:1 9179f142:1,0x70017cc8 0x70017d2b 0x70017d20 0x70017d15 0x70017d0a 0x70017cff 0x70017cf4 0x70017ce9 0x70017cde 0x70017cd3
C_flk_landing_series,close,32,10,8,24,157,99,?? ?? 70 ?? ?? ?? ?? 01 ?? ?? fb ?? ?? 70 ?? ?? ?? ?? 01 ?? ?? fb ?? ?? 70 ?? ?? ?? ?? 01 ?? ??,44bc0403:1 aef5dad6:1 482b1d47:1 8de76ef5:1 8cf2579c:1 9179f142:1,0x70017cc8 0x70017d2b 0x70017d20 0x70017d15 0x70017d0a 0x70017cff 0x70017cf4 0x70017ce9 0x70017cde 0x70017cd3
C_flk_landing_series,strong,8,10,2,6,39,25,?? ?? 70 ?? ?? ?? ?? 01,44bc0403:1 aef5dad6:1 482b1d47:1 8de76ef5:1 8cf2579c:1 9179f142:1,0x70017cc8 0x70017d2b 0x70017d20 0x70017d15 0x70017d0a 0x70017cff 0x70017cf4 0x70017ce9 0x70017cde 0x70017cd3
C_flk_landing_series,strong,16,10,4,12,81,47,?? ?? 70 ?? ?? ?? ?? 01 ?? ?? fb ?? ?? 70 ?? ??,44bc0403:1 aef5dad6:1 482b1d47:1 8de76ef5:1 8cf2579c:1 9179f142:1,0x70017cc8 0x70017d2b 0x70017d20 0x70017d15 0x70017d0a 0x70017cff 0x70017cf4 0x70017ce9 0x70017cde 0x70017cd3
