table,index,addr,region,hypothesis,bundle_score,landing_score,template_score,prev_delta,next_delta,mod8,mod16,prop_addr,prop_size,prop_flags,phase8_rank,phase8_score,phase8,phase16_rank,phase16_score,phase16,repeat8,repeat16,control_vote_exact,control_vote_near,pcrel_slot_exact,pcrel_slot_near,evidence
D,15,0x700824e2,ann_dense,generated_template_entry,3,0,8,-0x75,-0x77,2,2,0x700824e2,0x5f,insn|no_reorder,7,402,5,11,130,13,27,27,,,,,prop=0x5f:insn|no_reorder;explicit_insn_prop_ge_8;d_generated_stride_family;repeat8_count_27;repeat16_count_27
D,16,0x7008246b,ann_dense,generated_template_entry,5,0,8,-0x77,-0x77,3,11,0x7008246b,0x5f,insn|no_reorder,2,458,6,8,140,6,27,27,,,,,prop=0x5f:insn|no_reorder;explicit_insn_prop_ge_8;d_generated_stride_family;aligns_top8_phase_rank_2;repeat8_count_27;repeat16_count_27
D,17,0x700823f4,ann_dense,generated_template_entry,4,3,8,-0x77,-0x75,4,4,0x700823f4,0x0,unreachable,1,564,7,2,197,15,27,27,,,,,prop=0x0:unreachable;best_prop=0x700823f4:0x5f:insn|no_reorder;zero_size_unreachable_marker;d_generated_stride_family;aligns_top8_phase_rank_1;aligns_top16_phase_rank_2;repeat8_count_27;repeat16_count_27
D,18,0x7008237f,ann_dense,generated_template_entry,3,0,8,-0x75,-0x77,7,15,0x7008237f,0x5f,insn|no_reorder,5,419,2,10,130,10,27,27,,,,,prop=0x5f:insn|no_reorder;explicit_insn_prop_ge_8;d_generated_stride_family;repeat8_count_27;repeat16_count_27
D,19,0x70082308,ann_dense,generated_template_entry,2,3,8,-0x77,-0x75,0,8,0x70082308,0x0,unreachable,6,416,3,4,162,3,27,27,,,,,prop=0x0:unreachable;best_prop=0x70082308:0x5f:insn|no_reorder;zero_size_unreachable_marker;d_generated_stride_family;aligns_top16_phase_rank_4;repeat8_count_27;repeat16_count_27
D,20,0x70082293,ann_dense,generated_template_entry,4,3,8,-0x75,-0x3ce,3,3,0x70082293,0x0,unreachable,2,458,6,3,165,14,27,27,,,,,prop=0x0:unreachable;best_prop=0x70082293:0x5f:insn|no_reorder;zero_size_unreachable_marker;d_generated_stride_family;aligns_top8_phase_rank_2;aligns_top16_phase_rank_3;repeat8_count_27;repeat16_count_27
D,21,0x70081ec5,ann_dense,candidate_bundle_start,2,0,0,-0x3ce,0x0,5,5,0x70081ec5,0x2,insn|branch_target|no_reorder,3,452,0,5,161,0,1,1,,,,,prop=0x2:insn|branch_target|no_reorder;aligns_top8_phase_rank_3
D,22,0x70081ec5,ann_dense,candidate_bundle_start,2,0,0,0x0,0x359,5,5,0x70081ec5,0x2,insn|branch_target|no_reorder,3,452,0,5,161,0,1,1,,,,,prop=0x2:insn|branch_target|no_reorder;aligns_top8_phase_rank_3
D,23,0x7008221e,ann_dense,generated_template_entry,5,0,8,0x359,-0x76,6,14,0x7008221e,0x5f,insn|no_reorder,4,423,1,6,155,9,27,27,,,,,prop=0x5f:insn|no_reorder;explicit_insn_prop_ge_8;d_generated_stride_family;aligns_top8_phase_rank_4;repeat8_count_27;repeat16_count_27
D,24,0x700821a8,ann_dense,generated_template_entry,2,3,8,-0x76,-0x75,0,8,0x700821a8,0x0,unreachable,6,416,3,4,162,3,27,27,,,,,prop=0x0:unreachable;best_prop=0x700821a8:0x5f:insn|no_reorder;zero_size_unreachable_marker;d_generated_stride_family;aligns_top16_phase_rank_4;repeat8_count_27;repeat16_count_27
D,25,0x70082133,ann_dense,generated_template_entry,4,3,8,-0x75,-0x75,3,3,0x70082133,0x0,unreachable,2,458,6,3,165,14,27,27,,,,,prop=0x0:unreachable;best_prop=0x70082133:0x5f:insn|no_reorder;zero_size_unreachable_marker;d_generated_stride_family;aligns_top8_phase_rank_2;aligns_top16_phase_rank_3;repeat8_count_27;repeat16_count_27
D,26,0x700820be,ann_dense,generated_template_entry,5,0,8,-0x75,-0x76,6,14,0x700820be,0x5f,insn|no_reorder,4,423,1,6,155,9,27,27,,,,,prop=0x5f:insn|no_reorder;explicit_insn_prop_ge_8;d_generated_stride_family;aligns_top8_phase_rank_4;repeat8_count_27;repeat16_count_27
D,27,0x70082048,ann_dense,generated_template_entry,2,3,8,-0x76,-0x183,0,8,0x70082048,0x0,unreachable,6,416,3,4,162,3,27,27,,,,,prop=0x0:unreachable;best_prop=0x70082048:0x5f:insn|no_reorder;zero_size_unreachable_marker;d_generated_stride_family;aligns_top16_phase_rank_4;repeat8_count_27;repeat16_count_27
D,28,0x70081ec5,ann_dense,candidate_bundle_start,2,0,0,-0x183,0x10e,5,5,0x70081ec5,0x2,insn|branch_target|no_reorder,3,452,0,5,161,0,1,1,,,,,prop=0x2:insn|branch_target|no_reorder;aligns_top8_phase_rank_3
D,29,0x70081fd3,ann_dense,generated_template_entry,4,3,8,0x10e,-0x75,3,3,0x70081fd3,0x0,unreachable,2,458,6,3,165,14,27,27,,,,,prop=0x0:unreachable;best_prop=0x70081fd3:0x5f:insn|no_reorder;zero_size_unreachable_marker;d_generated_stride_family;aligns_top8_phase_rank_2;aligns_top16_phase_rank_3;repeat8_count_27;repeat16_count_27
D,30,0x70081f5e,ann_dense,generated_template_entry,5,0,4,-0x75,,6,14,0x70081f5e,0x5f,insn|no_reorder,4,423,1,6,155,9,1,1,,,,,prop=0x5f:insn|no_reorder;explicit_insn_prop_ge_8;d_generated_stride_family;aligns_top8_phase_rank_4
