kernel_bucket,bucket_confidence,component_count,dispatch_count,close_dispatch_count,far_dispatch_count,exact_dispatch_count,successor_dispatch_count,linear_components,branch_components,known_block_count,edge_count,regions,tables,component_ids,addr_min,addr_max,evidence
D_ann_generated_stub_family,strong,13,31,23,8,9,0,9,4,35,35,ann_dense:35,D:31,comp_037 comp_038 comp_039 comp_040 comp_041 comp_042 comp_044 comp_046 comp_047 comp_048 comp_049 comp_050 comp_051,0x70081ec7,0x70082b20,dispatch_tables_D:13 ann_dispatch_table_D:13 exact_dispatch_1:9 close_dispatch_1:7 close_dispatch_2:3 far_dispatch_4:2 close_dispatch_3:2 close_dispatch_4:1
B_flk_landing_series,strong,4,10,10,0,0,3,3,1,17,17,flk_dense:17,B:10,comp_006 comp_014 comp_015 comp_016,0x70017460,0x70017e49,dispatch_tables_B:4 abc_dispatch_landing_series:4 successor_dispatch_1:3 close_dispatch_2:2 close_dispatch_5:1 close_dispatch_1:1
C_flk_landing_series,strong,5,10,10,0,0,4,5,0,8,8,flk_dense:8,C:10,comp_008 comp_009 comp_010 comp_035 comp_036,0x700174bc,0x70017d15,dispatch_tables_C:5 abc_dispatch_landing_series:5 successor_dispatch_1:4 close_dispatch_2:3 close_dispatch_1:1 close_dispatch_3:1
AB_flk_landing_series,strong,1,8,8,0,0,1,1,0,4,4,flk_dense:4,A:6 B:2,comp_013,0x7001756c,0x70017da4,dispatch_tables_AB:1 close_dispatch_8:1 successor_dispatch_1:1 abc_dispatch_landing_series:1
A_flk_landing_series,strong,1,4,4,0,0,1,1,0,2,2,flk_dense:2,A:4,comp_012,0x70017540,0x70017d62,dispatch_tables_A:1 close_dispatch_4:1 successor_dispatch_1:1 abc_dispatch_landing_series:1
AC_flk_landing_series,strong,1,3,3,0,0,1,1,0,3,3,flk_dense:3,A:2 C:1,comp_011,0x70017510,0x70017d4c,dispatch_tables_AC:1 close_dispatch_3:1 successor_dispatch_1:1 abc_dispatch_landing_series:1
C_flk_control_anchor,strong,1,1,1,0,0,0,0,1,11,11,flk_dense:11,C:1,comp_000,0x700169ac,0x70017a84,dispatch_tables_C:1 close_dispatch_1:1 C1_0x700169a4_anchor:1
ann_body_component,inferred,2,0,0,0,0,0,2,0,4,4,ann_dense:4,,comp_043 comp_045,0x700820a7,0x7008295e,no_dispatch_ann_dense_body:2
flk_body_component,inferred,24,0,0,0,0,0,18,6,92,91,flk_dense:92,,comp_001 comp_002 comp_003 comp_004 comp_005 comp_007 comp_017 comp_018 comp_019 comp_020 comp_021 comp_022 comp_023 comp_024 comp_025 comp_026 comp_027 comp_028 comp_029 comp_030 comp_031 comp_032 comp_033 comp_034,0x70016bb0,0x70018174,no_dispatch_flk_dense_body:24
